aaron	a: r O n
akuryrkju	a: k Y r I r_0 c Y
akvarellu	a: k_h v a r E l Y
ala	a: l a
alain	a: l a n
al	a: l
alan	a: l a n
alaska	a: l a s k a
alaskaösp	a: l a s k a 9 s p
alast	a: l a s t
alaves	a: l a v E s
alba	a l p a
albanía	a l p a n i j a
albaníu	a l p a n i j Y
albert	a l p E r_0 t
alberto	a l p E r_0 t ou
alberts	a l p E r_0 t s
albertsdóttir	a l p E r_0 t s t ou h t I r
albertsson	a l p E r_0 t s O n
albion	a l p i j O n
albjart	a l p j a r_0 t
album	a l p u m
alcan	a l_0 k a n
alcohol	a l_0 k ou h O l
alda	a l t a
aldamót	a l t a m ou t
aldamótin	a l t a m ou t I n
aldamótum	a l t a m ou t Y m
aldanna	a l t a n a
aldar	a l t a r
aldarfjórðung	a l t a r f j ou r D u N k
aldarfjórðungi	a l t a r_0 f j ou r D u J c I
aldarinnar	a l t a r I n a r
aldeilis	a l t ei l I s
aldimmt	a l t I m_0 t
aldin	a l t I n
aldinkjötið	a l t I n c_h 9 t I D
aldir	a l t I r
aldirnar	a l t I r t n a r
aldís	a l t i s
aldna	a l t n a
aldnir	a l t n I r
aldraða	a l t r a D a
aldraðir	a l t r a D I r
aldraðra	a l t r a D r a
aldrei	a l t r ei
aldri	a l t r I
aldrinum	a l t r I n Y m
aldur	a l t Y r
aldurinn	a l t Y r I n
aldurs	a l t Y r_0 s
aldursári	a l t Y r_0 s au r I
aldursflokki	a l t Y r_0 s f l O h c I
aldursflokkum	a l t Y r_0 s f l O h k Y m
aldurshópa	a l t Y r_0 s h ou p a
aldurshópnum	a l t Y r_0 s h ou h p n Y m
aldurshópum	a l t Y r_0 s h ou p Y m
aldursmunur	a l t Y r_0 s m Y n Y r
aldurstakmark	a l t Y r_0 s t_h a k m a r_0 k
aldurstakmarkið	a l t Y r_0 s t_h a k m a r_0 c I D
aldurstengds	a l t Y r_0 s t_h ei N t s
aldurtila	a l t Y r_0 t_h I l a
ale	ei: l
alefli	a: l E p l I
aleksandar	a: l E k s a n t a r
alelda	a: l E l t a
alessandro	a: l E s a n t r O
alex	a: l E k s
alexander	a: l E k s a n t E r
alexanders	a: l E k s a n t E r_0 s
alexandersson	a: l E k s a n t E r_0 s O n
alexandra	a: l E k s a n t r a
alexandre	a: l E k s a n t E r
alfa	a l f a
alfarið	a l f a r I D
alfred	a l f r E t
alfreðs	a l f r E D s
alfreðsdóttir	a l f r E D s t ou h t I r
alfreðsson	a l f r E D s O n
alfreðssonar	a l f r E D s O n a r
alfræðiorðabókin	a l f r ai D I O r D a p ou c I n
alfræðiriti	a l f r ai D I r I t I
algarve	a l k a r v E
algeng	a l c ei N k
algengan	a l c ei N k a n
algengara	a l c ei N k a r a
algengar	a l c ei N k a r
algengari	a l c ei N k a r I
algengasta	a l c ei N k a s t a
algengast	a l c ei N k a s t
algengi	a l c ei J c I
algengir	a l c ei J c I r
algengra	a l c ei N k r a
algengt	a l c ei N_0 t
algengum	a l c ei N k Y m
algengur	a l c ei N k Y r
algengust	a l c ei N k Y s t
algera	a l c E r a
alger	a l c E r
algerlega	a l c E r l E G a
algerrar	a l c E r a r
algerri	a l c E r I
algert	a l c E r_0 t
algeru	a l c E r Y
algjöra	a l c 9 r a
algjör	a l c 9 r
algjöran	a l c 9 r a n
algjörlega	a l c 9 r l E G a
algjörri	a l c 9 r I
algjört	a l c 9 r_0 t
algjöru	a l c 9 r Y
algjörum	a l c 9 r Y m
alheimsins	a: l h ei m s I n s
alheimur	a l h ei m Y r
alhliða	a: l_0 I D a
alhug	a: l h Y G
ali	a: l I
alice	a: l I s
alið	a: l I D
aliexpress	a: l i j E k s p r E s
alin	a: l I n
alinn	a: l I n
alist	a: l I s t
alkalírafhlöður	a l_0 k a l i r a f l_0 9 D Y r
alkominn	a l k_h O m I n
alkóa	a l_0 k ou a
alkóhólista	a l_0 k ou h ou l I s t a
alkunna	a l k_h Y n a
alkunnu	a l k_h Y n Y
alla	a t l a
allaballa	a l a p a l a
allaballanna	a l a p a l a n a
allaballar	a l a p a l a r
allaballarnir	a l a p a l a t n I r
allaballi	a l a p a l I
allaballinn	a l a p a l I n
allaböllum	a l a p 9 l Y m
allan	a t l a n
allar	a t l a r
all	a t l_0
allavega	a t l a v E G a
allavegana	a t l a v E G a n a
allegóría	a l E G ou r i a
allegórían	a l E k ou r i a n
allegóríu	a l E k ou r i j Y
allegóríur	a l E k ou r i j Y r
allen	a l E n
alles	a l E s
allflóknu	a t l_0 f l ou h k n Y
allforhertur	a t l_0 f O r_0 h E r_0 t Y r
allgemeine	a l k E m ai n E
allgóður	a t l_0 k ou D Y r
allhressilega	a t l_0 r_0 E s I l E G a
alli	a l I
allir	a t l I r
alllangt	a t l au N_0 t
alllengi	a t l ei J c I
allmargar	a t l m a r k a r
allmargir	a t l m a r c I r
allmikið	a t l m I c I D
allmiklu	a t l m I h k l Y
allmörg	a t l m 9 r k
allmörgum	a t l m 9 r k Y m
allnokkra	a t l n O h k r a
allnokkrar	a t l n O h k r a r
allnokkrum	a t l n O h k r Y m
allnokkuð	a t l n O h k Y D
allnokkur	a t l n O h k Y r
alloft	a t l O f t
allra	a t l r a
allrar	a t l r a r
allri	a t l r I
alls	a l s
allsber	a l s p E r
allsberir	a l s p E r I r
allsendis	a l s E n t I s
allsherjar	a l s h E r j a r
allsherjarnefnd	a l s h E r j a r n E m t
allsherjarnefndar	a l s h E r j a r n E m t a r
allsherjarnefndin	a l s h E r j a r n E m t I n
allsherjarsál	a l s h E r j a r_0 s au l
allsherjartákn	a l s h E r j a r_0 t_h au h k n
allsherjarþingi	a l s h E r j a r_0 T i J c I
allsherjarþinginu	a l s h E r j a r_0 T i J c I n Y
allskonar	a l s k O n a r
allskostar	a l s k O s t a r
allskyns	a l s c I n s
allsráðandi	a l s r au D a n t I
allsstaðar	a l s t a D a r
allstaðar	a l s t a D a r
allstóran	a t l_0 s t ou r a n
allstórir	a t l_0 s t ou r I r
alltaf	a l_0 t a f
allt	a l_0 t
alltént	a l_0 t_h j E n_0 t
alltof	a l_0 t O f
alltsvo	a l_0 t s O
alltumlykjandi	a l_0 t Y m l I c a n t I
allur	a t l Y r
allverulega	a t l v E r Y l E G a
allverulegt	a t l v E r Y l E x t
allýjar	a l i j a r
alma	a l m a
almannafé	a l m a n a f j E
almannafæri	a l m a n a f ai r I
almannahagsmuna	a l m a n a h a x s m Y n a
almannahagsmuni	a l m a n a h a x s m Y n I
almannahagsmunir	a l m a n a h a x s m Y n I r
almannahagsmunum	a l m a n a h a x s m Y n Y m
almannaheilla	a l m a n a h ei t l a
almannakambs	a l m a n a k_h a m p s
almannaskarð	a l m a n a s k a r D
almannatenglar	a l m a n a t_h ei N l a r
almannatrygginga	a l m a n a t_h r I c i N k a
almannatryggingakerfinu	a l m a n a t_h r I c i N k a c_h E r v I n Y
almannatryggingar	a l m a n a t_h r I c i N k a r
almannatryggingum	a l m a n a t_h r I c i N k Y m
almannavarna	a l m a n a v a r t n a
almannavarnir	a l m a n a v a r t n I r
almannavörnum	a l m a n a v 9 r t n Y m
almannaþágu	a l m a n a T au G Y
almannaþjónustu	a l m a n a T j ou n Y s t Y
almar	a l m a r
almarr	a l m a r
almáttugan	a l m au h t Y G a n
almenna	a l m E n a
almenn	a l m E n
almennan	a l m E n a n
almennar	a l m E n a r
almenni	a l m E n I
almennilega	a l m E n I l E G a
almennileg	a l m E n I l E G
almennilegt	a l m E n I l E x t
almennilegur	a l m E n I l E G Y r
almenning	a l m E n i N k
almenningi	a l m E n i J c I
almenninginn	a l m E n i J c I n
almenningnum	a l m E n i N n Y m
almennings	a l m E n i N s
almenningsálitið	a l m E n i N s au l I t I D
almenningsbókasöfn	a l m E n i N s p ou k a s 9 p n_0
almenningshlaupa	a l m E n i N s l_0 9i p a
almenningssamgangna	a l m E n i N s a m k au N n a
almenningssamgöngum	a l m E n i N s a m k 9i N k Y m
almenningssamgöngur	a l m E n i N s a m k 9i N k Y r
almenningstindur	a l m E n i N s t_h I n t Y r
almenningur	a l m E n i N k Y r
almennir	a l m E n I r
almennra	a l m E n r a
almennrar	a l m E n r a r
almennri	a l m E n r I
almenns	a l m E n s
almennt	a l m E n_0 t
almennu	a l m E n Y
almennum	a l m E n Y m
almennur	a l m E n Y r
almost	O l m ou s t
alnæmi	a l n ai m I
alonso	a l O n s O
alpagreinar	a l_0 p a k r ei n a r
alpaka	a l p_h a k a
alpaklúbburinn	a l_0 p a k_h l u p Y r I n
alrangt	a l r au N_0 t
alríkislögreglan	a l r i c I s t l 9 G r E k l a n
alríkislögreglunnar	a l r i c I s t l 9 G r E k l Y n a r
als	a l s
alsett	a l s E h t
alsír	a l s i r
alsoddi	a l s O t I
also	O l s ou
alt	a l_0 t
altari	a l_0 t a r I
altarisganga	a l_0 t a r I s k au N k a
altarisgöngu	a l_0 t a r I s k 9i N k Y
altarissakramentið	a l_0 t a r I s a k r a m E n_0 t I D
altarissakramentinu	a l_0 t a r I s a k r a m E n_0 t I n Y
altarissveinn	a l_0 t a r I s v ei t n_0
altaristöfluna	a l_0 t a r I s t_h 9 p l Y n a
altekinn	a l t_h E c I n
altsvo	a l_0 t s v O
alusuisse	a: l u s v I s
alúð	a: l u D
alúðlega	a: l u D l E G a
alvara	a l v a r a
alvarlega	a l v a r l E G a
alvarleg	a l v a r l E G
alvarlegan	a l v a r l E G a n
alvarlegar	a l v a r l E G a r
alvarlegasta	a l v a r l E G a s t a
alvarlegir	a l v a r l ei j I r
alvarlegra	a l v a r l E G r a
alvarlegrar	a l v a r l E G r a r
alvarlegri	a l v a r l E G r I
alvarlegs	a l v a r l E x s
alvarlegt	a l v a r l E x t
alvarlegu	a l v a r l E G Y
alvarlegum	a l v a r l E G Y m
alvarlegur	a l v a r l E G Y r
alvarlegustu	a l v a r l E G Y s t Y
alvarleika	a l v a r l ei k a
alvaro	a l v a r ou
alveg	a l v E G
alversta	a l v E r_0 s t a
alves	a l v E s
alvitur	a l v I t Y r
alvogen	a l v O k E n
alvöru	a l v 9 r Y
alvörugefni	a l v 9 r Y c E p n I
alvörunni	a l v 9 r Y n I
alvörupabba	a l v 9 r Y p_h a p a
alvörusvip	a l v 9 r Y s v I p
always	O l v ei s
alzheimer	a l s h ai m E r
alþekkt	a l T E x t
alþingi	a l T i J c I
alþingis	a l T i J c I s
alþingishúsið	a l T i J c I s h u s I D
alþingishúsinu	a l T i J c I s h u s I n Y
alþingiskosninga	a l T i J c I s k_h O s t n i N k a
alþingiskosningar	a l T i J c I s k_h O s t n i N k a r
alþingiskosningarnar	a l T i J c I s k_h O s t n i N k a r t n a r
alþingiskosningum	a l T i J c I s k_h O s t n i N k Y m
alþingiskosningunum	a l T i J c I s k_h O s t n i N k O n Y m
alþingismaður	a l T i J c I s m a D Y r
alþingismanna	a l T i J c I s m a n a
alþingismanns	a l T i J c I s m a n s
alþingismenn	a l T i J c I s m E n
alþingismönnum	a l T i J c I s m 9 n Y m
alþjóða	a l T j ou D a
alþjóðabankans	a l T j ou D a p au N_0 k a n s
alþjóðabankinn	a l T j ou D a p au J_0 c I n
alþjóðagjaldeyrissjóðinn	a l T j ou D a c a l t ei r I s j ou D I n
alþjóðagjaldeyrissjóðnum	a l T j ou D a c a l t ei r I s j ou D n Y m
alþjóðagjaldeyrissjóðsins	a l T j ou D a c a l t ei r I s j ou D s I n s
alþjóðagjaldeyrissjóðurinn	a l T j ou D a c a l t ei r I s j ou D Y r I n
alþjóð	a l T j ou D
alþjóðalög	a l T j ou D a l 9 G
alþjóðalögum	a l T j ou D a l 9 G Y m
alþjóðamarkaði	a l T j ou D a m a r_0 k a D I
alþjóðamálum	a l T j ou D a m au l Y m
alþjóðasamfélagið	a l T j ou D a s a m f j E l ai j I D
alþjóðasamfélaginu	a l T j ou D a s a m f j E l ai j I n Y
alþjóðasamfélagsins	a l T j ou D a s a m f j E l a x s I n s
alþjóðasamninga	a l T j ou D a s a m n i N k a
alþjóðastofnana	a l T j ou D a s t O p n a n a
alþjóðasveitanna	a l T j ou D a s v ei t a n a
alþjóðasveitirnar	a l T j ou D a s v ei t I r t n a r
alþjóðasveitunum	a l T j ou D a s v ei t O n Y m
alþjóðavettvangi	a l T j ou D a v E h t v au J c I
alþjóðaviðskiptum	a l T j ou D a v I D s c I f t Y m
alþjóðavísu	a l T j ou D a v i s Y
alþjóðavæðingar	a l T j ou D a v ai D i N k a r
alþjóðlega	a l T j ou D l E G a
alþjóðleg	a l T j ou D l E G
alþjóðlegan	a l T j ou D l E G a n
alþjóðlegar	a l T j ou D l E G a r
alþjóðlegi	a l T j ou D l ei j I
alþjóðlegir	a l T j ou D l ei j I r
alþjóðlegra	a l T j ou D l E G r a
alþjóðlegrar	a l T j ou D l E G r a r
alþjóðlegri	a l T j ou D l E G r I
alþjóðlegs	a l T j ou D l E x s
alþjóðlegt	a l T j ou D l E x t
alþjóðlegu	a l T j ou D l E G Y
alþjóðlegum	a l T j ou D l E G Y m
alþjóðlegur	a l T j ou D l E G Y r
alþýðu	a l T i D Y
alþýðubandalagið	a l T i D Y p a n t a l ai j I D
alþýðubandalaginu	a l T i D Y p a n t a l ai j I n Y
alþýðubandalagsins	a l T i D Y p a n t a l a x s I n s
alþýðuflokksins	a l T i D Y f l O h k s I n s
alþýðuflokkurinn	a l T i D Y f l O h k Y r I n
alþýðufylkingarinnar	a l T i D Y f I l_0 c i N k a r I n a r
alþýðunnar	a l T i D Y n a r
alþýðusamband	a l T i D Y s a m p a n t
alþýðusambandi	a l T i D Y s a m p a n t I
alþýðusambandið	a l T i D Y s a m p a n t I D
alþýðusambands	a l T i D Y s a m p a n t s
alþýðusambandsins	a l T i D Y s a m p a n t s I n s
ama	a: m a
am	a: m
amanda	a: m a n t a
amast	a: m a s t
amazon	a: m a s O n
ambient	a m p i E n_0 t
ameríkaninn	a: m E r i k_h a n I n
ameríku	a: m E r i k Y
ameríska	a: m E r i s k a
amerísku	a: m E r i s k Y
amerískum	a: m E r i s k Y m
amerískur	a: m E r i s k Y r
amfetamín	a m f E t a m i n
amfetamíni	a m f E t a m i n I
amfetamínneytendur	a m f E t a m i n ei t E n t Y r
amfetamíns	a m f E t a m i n s
amma	a m a
amman	a m a n
amnesty	a m n E s t i
a-moll	a: m O l
amper	a m_0 p E r
amsterdam	a m s t E r t a m
amstri	a m s t r I
amtbókasafninu	a m_0 t p ou k a s a p n I n Y
amtmaður	a m_0 t m a D Y r
amtmanni	a m_0 t m a n I
amtsbókasafnið	a m_0 t s p ou k a s a p n I D
amy	ei: m i
ana	a: n a
ananas	a: n a n a s
anand	a: n a n t
anda	a n t a
andað	a n t a D
andaðist	a n t a D I s t
andagift	a n t a c I f t
andakt	a n t a x t
andaktugur	a n t a x t Y G Y r
andann	a n t a n
andans	a n t a n s
and	a n t
andanum	a n t a n Y m
andapollinn	a n t a p_h O t l I n
andar	a n t a r
andarslitrunum	a n t a r_0 s t l I t r O n Y m
andartak	a n t a r_0 t_h a k
andartaki	a n t a r_0 t_h a c I
andartakið	a n t a r_0 t_h a c I D
andartaksins	a n t a r_0 t_h a k s I n s
andartaksstund	a n t a r_0 t_h a k s t Y n t
andartökum	a n t a r_0 t_h 9 k Y m
andarunga	a n t a r u N k a
andarungi	a n t a r u J c I
andavatn	a n t a v a h t n_0
anddyri	a n t I r I
anders	a n t E r_0 s
andersen	a n t E r_0 s E n
anderson	a n t E r_0 s O n
andersson	a n t E r_0 s O n
andesfjöllin	a n t E s f j 9 t l I n
andfélagslega	a n t f j E l a x s t l E G a
andi	a n t I
andinn	a n t I n
andlát	a n t l au t
andláti	a n t l au t I
andlátið	a n t l au t I D
andláts	a n t l au t s
andlega	a n t l E G a
andlegan	a n t l E G a n
andleg	a n t l E G
andlegra	a n t l E G r a
andlegri	a n t l E G r I
andlegt	a n t l E x t
andlegu	a n t l E G Y
andlegum	a n t l E G Y m
andlit	a n t l I t
andliti	a n t l I t I
andlitið	a n t l I t I D
andlitinu	a n t l I t I n Y
andlitslyftingu	a n t l I t s t l I f t i N k Y
andlitslyftur	a n t l I t s t l I f t Y r
andlitssnyrtingu	a n t l I t s t n I r_0 t i N k Y
andlitssvip	a n t l I t s v I p
andmæla	a n t m ai l a
andmæli	a n t m ai l I
andmælt	a n t m ai l_0 t
andmælum	a n t m ai l Y m
andorra	a n t O r a
andra	a n t r a
andrá	a n t r au
andrea	a n t r E a
andre	a n t r E
andreas	a n t r E a s
andrei	a n t r ei
andres	a n t r E s
andreu	a n t r E Y
andrew	a n t r u
andrews	a n t r j u s
andré	a n t r ei
andrés	a n t r j E s
andrésar	a n t r j E s a r
andrésdóttir	a n t r j E s t ou h t I r
andrési	a n t r j E s I
andrésson	a n t r j E s O n
andri	a n t r I
andriy	a n t r i
android	a n t r Oi t
andrógen	a n t r ou c E n
andrúmsloft	a n t r u m s t l O f t
andrúmslofti	a n t r u m s t l O f t I
andrúmsloftið	a n t r u m s t l O f t I D
andrúmsloftinu	a n t r u m s t l O f t I n Y
andskáldsöguna	a n t s k au l t s 9 G Y n a
andskota	a n t s k O t a
andskotann	a n t s k O t a n
andskoti	a n t s k O t I
andskotinn	a n t s k O t I n
andsnúinn	a n t s t n u I n
andsnúnir	a n t s t n u n I r
andspænis	a n t s p ai n I s
andstaða	a n t s t a D a
andstaðan	a n t s t a D a n
andstreymi	a n t s t r ei m I
andstyggð	a n t s t I G D
andstyggðar	a n t s t I G D a r
andstyggilega	a n t s t I c I l E G a
andstyggilegt	a n t s t I c I l E x t
andstyggilegur	a n t s t I c I l E G Y r
andstæða	a n t s t ai D a
andstæð	a n t s t ai D
andstæðinga	a n t s t ai D i N k a
andstæðinganna	a n t s t ai D i N k a n a
andstæðing	a n t s t ai D i N k
andstæðingar	a n t s t ai D i N k a r
andstæðingarnir	a n t s t ai D i N k a r t n I r
andstæðingi	a n t s t ai D i J c I
andstæðinginn	a n t s t ai D i J c I n
andstæðingum	a n t s t ai D i N k Y m
andstæðingur	a n t s t ai D i N k Y r
andstæðingurinn	a n t s t ai D i N k Y r I n
andstæðir	a n t s t ai D I r
andstæðu	a n t s t ai D Y
andstæður	a n t s t ai D Y r
andstætt	a n t s t ai h t
andstöðu	a n t s t 9 D Y
andstöðuflokkur	a n t s t 9 D Y f l O h k Y r
andsvara	a n t s v a r a
andsvar	a n t s v a r
andsvari	a n t s v a r I
andsvarið	a n t s v a r I D
andsvör	a n t s v 9 r
andsvörum	a n t s v 9 r Y m
andúð	a n t u D
andvaka	a n t v a k a
andvana	a n t v a n a
andvari	a n t v a r I
andvarpaði	a n t v a r_0 p a D I
andvarpandi	a n t v a r_0 p a n t I
andvarp	a n t v a r_0 p
andvarpi	a n t v a r_0 p I
andvirði	a n t v I r D I
andvíg	a n t v i G
andvígir	a n t v i j I r
andvígur	a n t v i G Y r
andvörpum	a n t v 9 r_0 p Y m
andy	a n t i
anelka	a n E l_0 k a
anfield	a n f i l t
anga	au N k a
angan	au N k a n
angandi	au N k a n t I
angar	au N k a r
ang	au N k
angela	a J c E l a
angel	ei J c E l
angeles	a n t j E l E s
angels	ei n t j E l s
angelu	a J c E l Y
angi	au J c I
anginn	au J c I n
angistarfull	au J c I s t a r_0 f Y t l_0
angóla	a N k ou l a
angólsk	a N k ou l s k
angólskir	a N k ou l s c I r
angólskt	a N k ou l s t
angólsku	a N k ou l s k Y
angóraull	a N k ou r a Y t l_0
angóraullar	a N k ou r a Y t l a r
angóraullarinnar	a N k ou r a Y t l a r I n a r
angóraullina	a N k ou r a Y t l I n a
angóraullin	a N k ou r a Y t l I n
angóraullinni	a N k ou r a Y t l I n I
angóruull	a N k ou r Y Y t l
angra	au N k r a
angrað	au N k r a D
angraði	au N k r a D I
angraðir	au N k r a D I r
angrandi	au N k r a n t I
angrar	au N k r a r
angri	au N k r I
angrið	au N k r I D
angur	au N k Y r
angurfull	au N k Y r_0 f Y t l_0
angurvært	au N k Y r v ai r_0 t
anhydrít	a n h i t r i t
anhýdríð	a n h i t r i D
anhýdríðum	a n h i t r i D Y m
anhýdríti	a n h i t r i t I
animal	a: n I m a l
animals	a: n I m a l s
aniston	a: n I s t O n
anita	a: n i t a
aníta	a: n i t a
anítu	a: n i t Y
ankara	a N_0 k a r a
anna	a n a
annað	a n a D
annaðhvort	a n a D k_h v O r_0 t
annaðist	a n a D I s t
ann	a n
annan	a n a n
annara	a n a r a
annar	a n a r
annari	a n a r I
annarlega	a n a r l E G a
annarlegri	a n a r l E G r I
annarlegu	a n a r l E G Y
annarra	a n a r a
annarrar	a n a r a r
annarri	a n a r I
annars	a n a r_0 s
annarskonar	a n a r_0 s k O n a r
annarsstaðar	a n a r_0 s t a D a r
annarstaðar	a n a r_0 s t a D a r
annarsvegar	a n a r_0 s v E G a r
annast	a n a s t
anne	a n
annie	a n i
annika	a n I k a
annir	a n I r
annist	a n I s t
annmarka	a n m a r_0 k a
annmarkar	a n m a r_0 k a r
annmörkum	a n m 9 r_0 k Y m
annríki	a n r i c I
annríkt	a n r i x t
annt	a n_0 t
annual	a n j u a l
annþór	a n T ou r
ansi	a n s I
answer	a n s 9 r
&	a n t
anthony	a n T O n i
anti	a n_0 t i
antoine	a n_0 t v a n
anton	a n_0 t O n
antonio	a n t_h O n I O
antonsdóttir	a n_0 t O n s t ou h t I r
antonsson	a n_0 t O n s O n
any	E: n i
anyone	E: n i v O n
anything	E: n i T i N
anywhere	E: n i v E r
apa	a: p a
ap	a: p_h j E
apes	ei: p s
api	a: p I
apótek	a: p ou t_h E k
apótekari	a: p ou t_h E k a r I
apótekum	a: p ou t_h E k Y m
app	a h p
apparat	a h p a r a t
appelsín	a h p E l s i n
appelsínugul	a h p E l s i n Y k Y l
appelsínugulum	a h p E l s i n Y k Y l Y m
appelsínugulur	a h p E l s i n Y k Y l Y r
appelsínuhúð	a h p E l s i n Y h u D
appelsínur	a h p E l s i n Y r
appelsínurnar	a h p E l s i n Y r t n a r
appelsínusafa	a h p E l s i n Y s a v a
appelsínusíld	a h p E l s i n Y s i l t
appið	a h p I D
apple	a h p u l
apps	a h p s
april	ei: p_h r I l
aprílkönnun	a: p_h r i l_0 k_h 9 n Y n
aprílmánuði	a: p_h r i l m au n Y D I
ara	a: r a
araba	a: r a p a
arabíska	a: r a p i s k a
arabísku	a: r a p i s k Y
arabískur	a: r a p i s k Y r
arabíu	a: r a p i j Y
aradóttir	a: r a t ou h t I r
arafat	a: r a f a t
arafats	a: r a f a t s
aragrúi	a: r a k r u I
arasonar	a: r a s O n a r
arason	a: r a s O n
aratungu	a: r a t_h u N k Y
arcade	a r_0 c ei t
architects	a r_0 c I t_h E x t s
architecture	a r_0 c I t_h E x t j u r
arð	a r D
arðbær	a r D p ai r
arðgreiðslu	a r D k r ei D s t l Y
arðgreiðslum	a r D k r ei D s t l Y m
arðgreiðslur	a r D k r ei D s t l Y r
arði	a r D I
arðræninginn	a r D r ai n i J c I n
arðs	a r D s
arðsemi	a r T s E m I
arður	a r D Y r
arðurinn	a r D Y r I n
area	E: r i a
are	a: r
areas	E: r i a s
arfa	a r v a
arf	a r v
arfi	a r v I
arfleiddi	a r v l ei t I
arfleifð	a r v l ei v D
arftaka	a r_0 t_h a k a
arftaki	a r_0 t_h a c I
arfur	a r v Y r
argentína	a r k E n t_h i n a
argentínska	a r k E n t_h i n s k a
argentínski	a r c E n t_h i n s c I
argentínu	a r c E n t_h i n Y
argentínumaðurinn	a r c E n t_h i n Y m a D Y r I n
argentínumenn	a r c E n t_h i n Y m E n
ari	a: r I
ariel	a r i j E l
arinbjarnarson	a: r I n p j a r t n a r_0 s O n
arion	a: r i O n
aristóteles	a: r I s t ou t_h E l E s
arjen	a r j E n
arkitekta	a r_0 c I t_h E x t a
arkitekt	a r_0 c I t_h E x t
arkitektar	a r_0 c I t_h E x t a r
arkitektarnir	a r_0 c I t_h E x t a r t n I r
arkitektasamkeppni	a r_0 c I t_h E x t a s a m c_h E h p n I
arkitektinn	a r_0 c I t_h E x t I n
arkitektsins	a r_0 c I t_h E x t s I n s
arkitektúr	a r_0 c I t_h E x t u r
arma	a r m a
armband	a r m p a n t
armbandsúr	a r m p a n t s u r
armeníu	a r m E n i j Y
armkútar	a r m k_h u t a r
armour	a r m u r
arms	a r m s
armstrong	a r m s t r O N
armt	a r m_0 t
armur	a r m Y r
army	a r m i
arna	a r t n a
arnalds	a r t n a l t s
arnaldur	a r t n a l t Y r
arnar	a r t n a r
arnardóttir	a r t n a r t ou h t I r
arnardóttur	a r t n a r t ou h t Y r
arnarfirði	a r t n a r_0 f I r D I
arnarholt	a r t n a r_0 h O l_0 t
arnarholti	a r t n a r_0 h O l_0 t I
arnarhóli	a r t n a r_0 h ou l I
arnari	a r t n a r I
arnarlax	a r t n a r l a k s
arnars	a r t n a r_0 s
arnarsdóttir	a r t n a r_0 s t ou h t I r
arnarsonar	a r t n a r_0 s O n a r
arnarson	a r t n a r_0 s O n
arnarssonar	a r t n a r_0 s O n a r
arnarsson	a r t n a r_0 s O n
arnarstapa	a r t n a r_0 s t a p a
arnartanga	a r t n a r_0 t_h au N k a
arnarvatnsheiðar	a r t n a r v a s h ei D a r
arnbjörg	a r t n_0 p j 9 r k
arnbjörnsson	a r t n_0 p j 9 r_0 s O n
arndal	a r n_0 t a l
arndís	a r n_0 t i s
arne	a r n E
arnesi	au r n E s I
arnfríður	a r t n_0 f r i D Y r
